test_subject,accuracy,f1_macro,n_test
S01,0.6238938053097345,0.6244638053284226,904
S03,0.6615384615384615,0.6267547092094399,1040
S06,0.6829268292682927,0.6538063177466455,1148
S09,0.7119796091758709,0.7159196907808735,1177
S12,0.48452830188679247,0.41942349138093765,1325
S15,0.63913470993117,0.6665724240742026,1017
S18,0.597678916827853,0.5104851174238851,1034
S21,0.61531279178338,0.5987579180505391,1071
S24,0.4796978281397545,0.42403257693495056,1059
S27,0.6138364779874214,0.6089992077243371,795
S30,0.5046153846153846,0.3935628059016887,1300
S33,0.4315352697095436,0.39813796262100937,1205
S37,0.503448275862069,0.4294345147899678,1160
S40,0.5389408099688473,0.48554188739220344,642
