test_subject,accuracy,f1_macro,n_test
S01,0.1837916063675832,0.1764915214624568,8292
S03,0.15781594011448702,0.15701141529534945,11355
S06,0.13838862559241707,0.12072030383019024,9495
S09,0.21008654133094598,0.20735964047898886,10053
S12,0.09510326449033978,0.11850248539209315,12008
S15,0.14372990353697748,0.1540862583211045,9330
S18,0.127215343529983,0.14949238817375018,12357
S21,0.11326826128928456,0.12179693524034212,9323
S24,0.10443220129923526,0.11308665373106253,12161
S27,0.1604194989318314,0.16988631592493392,10298
S30,0.15088084864557683,0.12336388994626976,10558
S33,0.12794579732914377,0.14485661594983354,10184
S37,0.1289172452617752,0.0989518135450297,10658
S40,0.18143899895724713,0.1466264576743852,6713
