test_subject,clf,clf__C,clf__gamma,accuracy,balanced_accuracy,f1_macro,kappa,mcc,top2_acc,top3_acc,log_loss,n_test,n_estimators,max_depth,clf__hidden_layer_sizes,clf__alpha
S01,svm_rbf,0.5,scale,0.5210176991150443,0.471796775087188,0.4559278829430273,0.39170272017504604,0.4138820177253949,0.6592920353982301,0.7688053097345132,1.754595813764919,904,,,,
S01,svm_rbf,0.5,0.5,0.2809734513274336,0.23984962406015037,0.14295625303860482,0.07049289502865552,0.18376209541620347,0.5154867256637168,0.6316371681415929,1.5807113258383299,904,,,,
S01,svm_rbf,0.5,2.0,0.2942477876106195,0.2,0.09094017094017094,0.0,0.0,0.5165929203539823,0.6327433628318584,1.6010004918080045,904,,,,
S01,svm_rbf,1.0,scale,0.5154867256637168,0.4680414425637965,0.44909766472958595,0.38477984567910817,0.4059790630293507,0.6460176991150443,0.7654867256637168,1.8578293197908897,904,,,,
S01,svm_rbf,1.0,0.5,0.3064159292035398,0.21289043504283095,0.1237688901222149,0.020385307369647276,0.06771991656523953,0.5165929203539823,0.6327433628318584,1.5844414061724572,904,,,,
S01,svm_rbf,1.0,2.0,0.2942477876106195,0.2,0.09094017094017094,0.0,0.0,0.5165929203539823,0.6327433628318584,1.6010188914045402,904,,,,
S01,svm_rbf,2.0,scale,0.5143805309734514,0.4653674419663695,0.44997710329974544,0.3827345604315271,0.40536980600732225,0.6449115044247787,0.7665929203539823,1.9915900289027963,904,,,,
S01,svm_rbf,2.0,0.5,0.28650442477876104,0.243609022556391,0.14854273731466713,0.07730870628894781,0.19168798081757538,0.5143805309734514,0.6316371681415929,1.5714949838934007,904,,,,
S01,svm_rbf,2.0,2.0,0.2942477876106195,0.2,0.09094017094017094,0.0,0.0,0.5165929203539823,0.6327433628318584,1.601017454576809,904,,,,
S01,svm_rbf,4.0,scale,0.5165929203539823,0.4689028758354897,0.4546770425857856,0.38571008728076783,0.4070770482264184,0.6338495575221239,0.7599557522123894,2.11546208266207,904,,,,
S01,svm_rbf,4.0,0.5,0.2831858407079646,0.24135338345864663,0.14532665649073007,0.07336171182073159,0.18475837325017216,0.5110619469026548,0.6316371681415929,1.570028839283686,904,,,,
S01,svm_rbf,4.0,2.0,0.2942477876106195,0.2,0.09094017094017094,0.0,0.0,0.5165929203539823,0.6327433628318584,1.6010312690065203,904,,,,
S01,rf,,,0.6935840707964602,0.7043224761015668,0.692826329529068,0.6117579021952653,0.6164257242207287,0.8528761061946902,0.9314159292035398,0.8806343597027224,904,200.0,,,
S01,rf,,,0.7013274336283186,0.7132938879754003,0.7013526869490587,0.6216206998652853,0.6255306426822446,0.8539823008849557,0.9303097345132744,0.8704512205703535,904,200.0,20.0,,
S01,rf,,,0.7002212389380531,0.7134126685955642,0.6987324112725756,0.6205839671543643,0.6251430976476506,0.8440265486725663,0.9347345132743363,0.8743981221076693,904,400.0,,,
S01,rf,,,0.6991150442477876,0.711862773958474,0.6989556860603987,0.6189313128526686,0.6230126296384536,0.8506637168141593,0.9325221238938053,0.86941097607761,904,400.0,20.0,,
S01,mlp,,,0.4823008849557522,0.4689545733249412,0.4662763497769749,0.34886455455601806,0.3627159145035758,0.6703539823008849,0.9258849557522124,3.866341396125482,904,,,"(64, 64)",0.0001
